claim_id,dataset,judge_skeptic_opus_p,judge_skeptic_opus_conf,judge_skeptic_gpt55_p,judge_skeptic_gpt55_conf,judge_skeptic_gem31_p,judge_skeptic_gem31_conf,judge_field_opus_p,judge_field_opus_conf,judge_field_gpt55_p,judge_field_gpt55_conf,judge_field_gem31_p,judge_field_gem31_conf,judge_bayesian_opus_p,judge_bayesian_opus_conf,judge_bayesian_gpt55_p,judge_bayesian_gpt55_conf,judge_bayesian_gem31_p,judge_bayesian_gem31_conf,judge_generalist_opus_p,judge_generalist_opus_conf,judge_generalist_gpt55_p,judge_generalist_gpt55_conf,judge_generalist_gem31_p,judge_generalist_gem31_conf,judge_n_responses,judge_mean_p,judge_median_p,judge_sd_p,judge_min_p,judge_max_p,judge_iqr_p,judge_persona_disagreement,judge_model_disagreement,expected_power,p_replication_observed
0qar_single-trace,round1,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,12,0.2433,0.3,0.0837,0.13,0.3,0.17,0.0,0.0981,0.8,0.2325
1574_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
1VeW_single-trace,round2,0.7,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.5,medium,0.7,low,0.7,medium,0.5,low,0.7,medium,0.7,medium,0.7,low,12,0.6808,0.7,0.0975,0.5,0.87,0.0,0.032,0.0732,0.8,0.5606
1X9W_single-trace,round1,0.13,medium,0.13,medium,0.13,high,0.13,high,0.13,medium,0.03,high,0.13,medium,0.13,medium,0.13,high,0.13,medium,0.3,medium,0.13,high,12,0.1358,0.13,0.0592,0.03,0.3,0.0,0.0374,0.0341,0.8,0.1519
2GKO_single-trace,round1,0.7,low,0.5,medium,0.3,medium,0.5,low,0.5,medium,0.3,medium,0.3,low,0.5,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.4333,0.4,0.1557,0.3,0.7,0.2,0.0544,0.1258,0.8,0.375
2lb5_single-trace,round1,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.7,medium,0.87,medium,12,0.8558,0.87,0.0491,0.7,0.87,0.0,0.0283,0.0245,0.8,0.6919
347d_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
3aPw_single-trace,round2,0.87,high,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0736,0.8,0.6706
4q0L_single-trace,round2,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,low,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,low,12,0.7142,0.7,0.0491,0.7,0.87,0.0,0.0283,0.0245,0.8,0.5857
59bm_single-trace,round2,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,low,0.87,high,12,0.7567,0.7,0.0837,0.7,0.87,0.17,0.0,0.0981,0.8,0.6175
5Awm_single-trace,round2,0.5,medium,0.7,medium,0.3,medium,0.5,medium,0.5,medium,0.3,medium,0.5,low,0.7,low,0.3,medium,0.7,low,0.7,medium,0.7,medium,12,0.5333,0.5,0.167,0.3,0.7,0.3,0.1155,0.1258,0.8,0.45
5JE_single-trace,round1,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.5,low,0.3,medium,12,0.3025,0.3,0.0791,0.13,0.5,0.0,0.0504,0.0463,0.8,0.2769
5Kgq_single-trace,round1,0.87,low,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.87,medium,12,0.785,0.785,0.0888,0.7,0.87,0.17,0.0567,0.0736,0.8,0.6388
5KrD_single-trace,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.3333,0.3,0.1155,0.3,0.7,0.0,0.0667,0.0577,0.8,0.3
5Q82_single-trace,round2,0.5,low,0.3,medium,0.3,medium,0.5,low,0.3,low,0.3,medium,0.5,low,0.7,low,0.3,low,0.5,low,0.5,low,0.3,medium,12,0.4167,0.4,0.1337,0.3,0.7,0.2,0.0638,0.1041,0.8,0.3625
5Xaw_single-trace,round2,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,low,0.5,medium,0.3,medium,12,0.35,0.3,0.0905,0.3,0.5,0.1,0.0638,0.05,0.8,0.3125
7RR2_2kl87y,round2,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.2858,0.3,0.0491,0.13,0.3,0.0,0.0283,0.0245,0.8,0.2644
